"inventory_id","item_sku","description","location_id","ebay_category_id","created_at","updated_at"
98,IZ-0105-100,Unbranded 871136 / A874224 FlexConnect Extension Cable,12,3300,2025-10-09 11:14:53.608 -0500,
142,IZ-0105-136,Intel Core 2 Duo E8400 Lot of 52 LGA,1,164,2025-11-22 16:02:58.656 -0600,
95,IZ-0105-40 	,Western Digital WD Green Internal Laptop Drive,12,56083,2025-10-08 12:49:27.991 -0500,
130,IZ-0105-125,Samsung 8GB M471A1K43BB1 (Lot of 10) DDR4 DRAM,12,170083,2025-11-18 15:17:47.084 -0600,
106,IZ-0105-104,Dell Vostro 3500 Notebook/Laptop,1,177,2025-10-22 16:48:46.914 -0500,
113,IZ-0105-109,NetApp X5530A-R6 Bracket,12,51199,2025-11-07 09:35:36.297 -0600,
100,KB-0822-70,(Lot of 5) Dell OptiPlex 3020M Desktop,20,179,2025-10-09 15:25:57.057 -0500,
173,IZ-0105-171,Intel I5-6500 Lot of 2 LGA,12,164,2025-12-18 11:20:13.300 -0600,
118,IZ-0105-114,Dell Vostro 3500 Notebook/Laptop,1,177,2025-11-07 15:59:41.548 -0600,
120,IZ-0105-116,Dell Vostro 3500 Notebook/Laptop,1,177,2025-11-08 09:42:24.650 -0600,
121,IZ-0105-117,Dell Vostro 3500 Notebook/Laptop,1,177,2025-11-08 10:21:00.307 -0600,
119,IZ-0105-115,Dell Vostro 3500 Notebook/Laptop,12,177,2025-11-07 16:22:34.110 -0600,
122,IZ-0105-118,Dell Vostro 3500 Notebook/Laptop,12,177,2025-11-08 10:39:50.836 -0600,
112,IZ-0105-108,APC 0M-756H Bracket,12,51199,2025-11-07 09:20:52.329 -0600,
126,IZ-0105-122,Intel Core i9-9900 3.10 GHz 8-Core 16-Thread Processor 5.0 GHz Turbo/LGA1151,12,164,2025-11-12 13:36:41.436 -0600,
108,IZ-0105-105,Cisco 9200CX -12P-2X2G Catalyst Switch,12,51268,2025-10-28 15:57:04.836 -0500,
116,IZ-0105-112,Crucial 8GB-2400 CT8G4DFD824A DDR4 DRAM,12,170083,2025-11-07 11:59:31.809 -0600,
109,IZ-0105-106,Intel I5-10500 LOT OF 3,12,164,2025-10-28 16:19:33.439 -0500,
